3166-1-alpha-2,3166-1-alpha-3,worldpop_population_map,key
SK,SVK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SVK/svk_ppp_2020.tif,SK
SI,SVN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SVN/svn_ppp_2020.tif,SI
SB,SLB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SLB/slb_ppp_2020.tif,SB
SO,SOM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SOM/som_ppp_2020.tif,SO
ZA,ZAF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ZAF/zaf_ppp_2020.tif,ZA
GS,SGS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SGS/sgs_ppp_2020.tif,GS
SS,SSD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SSD/ssd_ppp_2020.tif,SS
ES,ESP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ESP/esp_ppp_2020.tif,ES
LK,LKA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/LKA/lka_ppp_2020.tif,LK
SD,SDN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SDN/sdn_ppp_2020.tif,SD
SR,SUR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SUR/sur_ppp_2020.tif,SR
SJ,SJM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SJM/sjm_ppp_2020.tif,SJ
SE,SWE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SWE/swe_ppp_2020.tif,SE
CH,CHE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CHE/che_ppp_2020.tif,CH
SY,SYR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/SYR/syr_ppp_2020.tif,SY
